Date,Start Time,End Time,Service/Class,Staff/Centre
25-12-17,06:00,07:00,Infrared Sauna Comprehensive (50min) for two,Contrast  Room 2
25-12-17,06:00,07:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1
25-12-17,06:00,07:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1
25-12-17,06:00,07:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1
25-12-17,06:00,07:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1
25-12-17,06:00,06:15,Cryotherapy Session,Cryotherapy Room
25-12-17,06:00,06:15,Cryotherapy for two,Cryotherapy Room
25-12-17,06:15,07:00,Contrast Therapy Maintenance (25 min),Contrast  Room 2
25-12-17,06:15,07:00,Contrast Therapy Maintenance (25min) for two,Contrast  Room 2
25-12-17,06:15,07:00,Infrared Sauna Maintenance (25 min),Contrast  Room 2
25-12-17,06:15,07:00,Infrared Sauna Maintenance (25min) for two,Contrast  Room 2
25-12-17,06:15,06:30,Cryotherapy Session,Cryotherapy Room
25-12-17,06:15,06:30,Cryotherapy for two,Cryotherapy Room
25-12-17,06:30,07:15,Contrast Therapy Maintenance (25 min),Contrast Room 1
25-12-17,06:30,07:15,Contrast Therapy Maintenance (25min) for two,Contrast Room 1
25-12-17,06:30,07:15,Infrared Sauna Maintenance (25 min),Contrast Room 1
25-12-17,06:30,07:15,Infrared Sauna Maintenance (25min) for two,Contrast Room 1
25-12-17,06:30,06:45,Cryotherapy Session,Cryotherapy Room
25-12-17,06:30,06:45,Cryotherapy for two,Cryotherapy Room
25-12-17,06:45,07:00,Cryotherapy Session,Cryotherapy Room
25-12-17,06:45,07:00,Cryotherapy for two,Cryotherapy Room
25-12-17,07:00,08:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1
25-12-17,07:00,08:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1
25-12-17,07:00,08:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1
25-12-17,07:00,08:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1
25-12-17,07:00,07:15,Cryotherapy Session,Cryotherapy Room
25-12-17,07:00,07:15,Cryotherapy for two,Cryotherapy Room
25-12-17,07:15,08:00,Contrast Therapy Maintenance (25 min),Contrast Room 1
25-12-17,07:15,08:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1
25-12-17,07:15,08:00,Infrared Sauna Maintenance (25 min),Contrast Room 1
25-12-17,07:15,08:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1
25-12-17,09:15,09:30,Cryotherapy for two,Cryotherapy Room
25-12-17,09:30,10:30,Contrast Therapy Comprehensive (50 min),Contrast Room 1
25-12-17,09:30,10:30,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1
25-12-17,09:30,10:30,Infrared Sauna Comprehensive (50 min),Contrast Room 1
25-12-17,09:30,10:30,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1
25-12-17,09:30,09:45,Cryotherapy Session,Cryotherapy Room
25-12-17,09:30,09:45,Cryotherapy for two,Cryotherapy Room
25-12-17,09:45,10:30,Contrast Therapy Maintenance (25 min),Contrast Room 1
25-12-17,09:45,10:30,Contrast Therapy Maintenance (25min) for two,Contrast Room 1
25-12-17,09:45,10:30,Infrared Sauna Maintenance (25 min),Contrast Room 1
25-12-17,09:45,10:30,Infrared Sauna Maintenance (25min) for two,Contrast Room 1
25-12-17,14:00,15:00,Contrast Therapy Comprehensive (50 min),Contrast  Room 2
25-12-17,14:00,15:00,Contrast Therapy Comprehensive (50min) for two,Contrast  Room 2
25-12-17,14:00,15:00,Infrared Sauna Comprehensive (50 min),Contrast  Room 2
25-12-17,14:00,15:00,Infrared Sauna Comprehensive (50min) for two,Contrast  Room 2
25-12-17,14:15,15:00,Contrast Therapy Maintenance (25 min),Contrast  Room 2
25-12-17,14:15,15:00,Contrast Therapy Maintenance (25min) for two,Contrast  Room 2
25-12-17,14:15,15:00,Infrared Sauna Maintenance (25 min),Contrast  Room 2
25-12-17,14:15,15:00,Infrared Sauna Maintenance (25min) for two,Contrast  Room 2
25-12-17,16:45,17:00,Cryotherapy for two,Cryotherapy Room
25-12-17,17:00,18:00,Contrast Therapy Comprehensive (50 min),Contrast  Room 2
25-12-17,17:00,18:00,Contrast Therapy Comprehensive (50min) for two,Contrast  Room 2
25-12-17,17:00,18:00,Infrared Sauna Comprehensive (50 min),Contrast  Room 2
25-12-17,17:00,18:00,Infrared Sauna Comprehensive (50min) for two,Contrast  Room 2
25-12-17,17:00,18:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1
25-12-17,17:00,18:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1
25-12-17,17:00,18:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1
25-12-17,17:00,18:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1
25-12-17,17:30,18:15,Contrast Therapy Maintenance (25 min),Contrast  Room 2
25-12-17,17:30,18:15,Contrast Therapy Maintenance (25min) for two,Contrast  Room 2
25-12-17,17:30,18:15,Infrared Sauna Maintenance (25 min),Contrast  Room 2
25-12-17,17:30,18:15,Infrared Sauna Maintenance (25min) for two,Contrast  Room 2
25-12-17,17:30,18:15,Contrast Therapy Maintenance (25 min),Contrast Room 1
25-12-17,17:30,18:15,Contrast Therapy Maintenance (25min) for two,Contrast Room 1
25-12-17,17:30,18:15,Infrared Sauna Maintenance (25 min),Contrast Room 1
25-12-17,17:30,18:15,Infrared Sauna Maintenance (25min) for two,Contrast Room 1
25-12-17,18:00,19:00,Contrast Therapy Comprehensive (50 min),Contrast  Room 2
25-12-17,18:00,19:00,Contrast Therapy Comprehensive (50min) for two,Contrast  Room 2
25-12-17,18:00,19:00,Infrared Sauna Comprehensive (50 min),Contrast  Room 2
25-12-17,18:00,19:00,Infrared Sauna Comprehensive (50min) for two,Contrast  Room 2
25-12-17,18:00,19:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1
25-12-17,18:00,19:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1
25-12-17,18:00,19:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1
25-12-17,18:00,19:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1
25-12-17,18:15,19:00,Contrast Therapy Maintenance (25 min),Contrast Room 1
25-12-17,18:15,19:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1
25-12-17,18:15,19:00,Infrared Sauna Maintenance (25 min),Contrast Room 1
25-12-17,18:15,19:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1
